State,Bedrooms,Bathrooms,Area (Sqft),Lot Size,Year Built,City,Zipcode,Address,Price,Status,Listing URL
IL,5 bds,3 ba,646 sqft,4846 sqft,1980,Fresno,92296,"6794 Pine Rd, Fresno, IL 92296","$1,345,391",For Sale,https://www.zillow.com/homedetails/29379398_zpid/
IL,1 bds,4 ba,3485 sqft,9074 sqft,1989,Fresno,66275,"7183 Elm St, Fresno, IL 66275","$677,597",Pending,https://www.zillow.com/homedetails/48089684_zpid/
IL,3 bds,2 ba,2742 sqft,2878 sqft,1951,Los Angeles,23668,"8083 Oak Ave, Los Angeles, IL 23668","$923,080",Sold,https://www.zillow.com/homedetails/72412469_zpid/
FL,2 bds,1 ba,1008 sqft,7656 sqft,1982,Sacramento,38562,"7443 Oak Ave, Sacramento, FL 38562","$1,411,902",Pending,https://www.zillow.com/homedetails/37808211_zpid/
TX,4 bds,1 ba,3163 sqft,1052 sqft,1958,San Francisco,26396,"142 Oak Ave, San Francisco, TX 26396","$1,464,732",Pending,https://www.zillow.com/homedetails/15102654_zpid/
TX,3 bds,4 ba,1588 sqft,4126 sqft,2008,Fresno,72494,"8639 Maple Dr, Fresno, TX 72494","$284,784",Pending,https://www.zillow.com/homedetails/46465859_zpid/
FL,5 bds,3 ba,1993 sqft,5581 sqft,1951,San Diego,54933,"7362 Maple Dr, San Diego, FL 54933","$1,096,197",Sold,https://www.zillow.com/homedetails/97273767_zpid/
IL,5 bds,3 ba,3460 sqft,3225 sqft,2014,Los Angeles,28325,"5402 Oak Ave, Los Angeles, IL 28325","$152,511",For Sale,https://www.zillow.com/homedetails/73213927_zpid/
IL,6 bds,4 ba,661 sqft,2846 sqft,2003,San Diego,86353,"4864 Maple Dr, San Diego, IL 86353","$941,690",Pending,https://www.zillow.com/homedetails/12463769_zpid/
TX,5 bds,1 ba,2160 sqft,2181 sqft,1953,Sacramento,26044,"2135 Maple Dr, Sacramento, TX 26044","$1,400,044",Sold,https://www.zillow.com/homedetails/24716116_zpid/
IL,6 bds,1 ba,2743 sqft,8980 sqft,2016,San Francisco,55615,"3422 Elm St, San Francisco, IL 55615","$474,461",Sold,https://www.zillow.com/homedetails/90519627_zpid/
NY,2 bds,2 ba,1346 sqft,5540 sqft,1990,Fresno,68184,"4931 Pine Rd, Fresno, NY 68184","$1,414,669",Pending,https://www.zillow.com/homedetails/80403477_zpid/
IL,3 bds,1 ba,1815 sqft,9641 sqft,1966,Fresno,55782,"5311 Oak Ave, Fresno, IL 55782","$399,142",Sold,https://www.zillow.com/homedetails/46856967_zpid/
NY,4 bds,1 ba,3249 sqft,4366 sqft,1954,Fresno,67573,"8638 Elm St, Fresno, NY 67573","$108,787",For Sale,https://www.zillow.com/homedetails/49393754_zpid/
FL,1 bds,3 ba,3321 sqft,9019 sqft,1997,Los Angeles,66115,"1679 Maple Dr, Los Angeles, FL 66115","$1,266,372",Sold,https://www.zillow.com/homedetails/76060967_zpid/
NY,2 bds,3 ba,2915 sqft,7934 sqft,2018,San Francisco,62932,"1082 Oak Ave, San Francisco, NY 62932","$1,436,634",Sold,https://www.zillow.com/homedetails/35674011_zpid/
TX,6 bds,3 ba,3126 sqft,4046 sqft,2009,San Diego,42286,"929 Maple Dr, San Diego, TX 42286","$1,135,748",Sold,https://www.zillow.com/homedetails/26095573_zpid/
IL,2 bds,3 ba,1897 sqft,4300 sqft,1952,Los Angeles,93603,"9758 Oak Ave, Los Angeles, IL 93603","$1,445,315",For Sale,https://www.zillow.com/homedetails/35100497_zpid/
NY,5 bds,2 ba,2609 sqft,8200 sqft,2005,San Francisco,78415,"5433 Pine Rd, San Francisco, NY 78415","$710,158",For Sale,https://www.zillow.com/homedetails/37687085_zpid/
IL,5 bds,2 ba,1741 sqft,4338 sqft,1986,Fresno,40814,"4935 Main St, Fresno, IL 40814","$426,442",Pending,https://www.zillow.com/homedetails/16235896_zpid/
IL,1 bds,4 ba,3102 sqft,8039 sqft,2015,San Francisco,98362,"277 Maple Dr, San Francisco, IL 98362","$474,005",Sold,https://www.zillow.com/homedetails/80212402_zpid/
TX,3 bds,1 ba,650 sqft,2740 sqft,1955,Sacramento,97031,"555 Main St, Sacramento, TX 97031","$102,028",For Sale,https://www.zillow.com/homedetails/12165090_zpid/
IL,1 bds,4 ba,2322 sqft,2476 sqft,1957,San Diego,70965,"5728 Main St, San Diego, IL 70965","$1,171,830",For Sale,https://www.zillow.com/homedetails/34326152_zpid/
NY,6 bds,2 ba,3890 sqft,2155 sqft,1961,Los Angeles,57579,"4922 Pine Rd, Los Angeles, NY 57579","$660,843",Sold,https://www.zillow.com/homedetails/23657614_zpid/
CA,3 bds,3 ba,3391 sqft,7953 sqft,2008,San Diego,12729,"4191 Main St, San Diego, CA 12729","$1,071,749",Pending,https://www.zillow.com/homedetails/25567985_zpid/
FL,5 bds,4 ba,2998 sqft,1309 sqft,1999,San Diego,75919,"1042 Elm St, San Diego, FL 75919","$470,645",Pending,https://www.zillow.com/homedetails/97163750_zpid/
IL,4 bds,3 ba,3677 sqft,3304 sqft,1955,San Francisco,24923,"3393 Elm St, San Francisco, IL 24923","$1,015,628",For Sale,https://www.zillow.com/homedetails/91664498_zpid/
NY,2 bds,4 ba,3352 sqft,9760 sqft,2022,Sacramento,88614,"2865 Oak Ave, Sacramento, NY 88614","$962,971",Sold,https://www.zillow.com/homedetails/22207715_zpid/
TX,1 bds,2 ba,690 sqft,7936 sqft,2019,Fresno,66654,"8414 Elm St, Fresno, TX 66654","$589,012",Sold,https://www.zillow.com/homedetails/91362466_zpid/
IL,6 bds,3 ba,969 sqft,7373 sqft,1988,Fresno,30523,"1058 Main St, Fresno, IL 30523","$907,603",For Sale,https://www.zillow.com/homedetails/70436373_zpid/
TX,1 bds,1 ba,2533 sqft,6096 sqft,1971,Sacramento,14892,"7769 Main St, Sacramento, TX 14892","$406,159",Pending,https://www.zillow.com/homedetails/18803597_zpid/
CA,6 bds,3 ba,1311 sqft,5889 sqft,2021,Sacramento,12477,"7667 Oak Ave, Sacramento, CA 12477","$1,129,152",Pending,https://www.zillow.com/homedetails/40038198_zpid/
IL,6 bds,3 ba,3145 sqft,4528 sqft,2005,Sacramento,52311,"4342 Pine Rd, Sacramento, IL 52311","$280,337",For Sale,https://www.zillow.com/homedetails/84318219_zpid/
CA,6 bds,2 ba,1462 sqft,5688 sqft,2009,Fresno,94175,"8482 Elm St, Fresno, CA 94175","$328,074",Sold,https://www.zillow.com/homedetails/56818942_zpid/
TX,5 bds,3 ba,2271 sqft,6190 sqft,2021,Sacramento,78963,"4040 Oak Ave, Sacramento, TX 78963","$351,462",Pending,https://www.zillow.com/homedetails/19182018_zpid/
IL,4 bds,4 ba,3866 sqft,1796 sqft,1973,Sacramento,99538,"5428 Main St, Sacramento, IL 99538","$210,113",For Sale,https://www.zillow.com/homedetails/80455661_zpid/
NY,6 bds,3 ba,1894 sqft,9879 sqft,1961,San Francisco,65918,"4453 Main St, San Francisco, NY 65918","$1,255,047",For Sale,https://www.zillow.com/homedetails/22612722_zpid/
IL,3 bds,2 ba,3009 sqft,2641 sqft,1984,San Diego,20679,"1152 Oak Ave, San Diego, IL 20679","$699,231",Pending,https://www.zillow.com/homedetails/89904982_zpid/
TX,5 bds,3 ba,1393 sqft,4054 sqft,1957,San Francisco,14339,"2026 Pine Rd, San Francisco, TX 14339","$772,910",Pending,https://www.zillow.com/homedetails/13653386_zpid/
CA,5 bds,4 ba,1837 sqft,4892 sqft,1965,Fresno,56423,"929 Oak Ave, Fresno, CA 56423","$417,718",Pending,https://www.zillow.com/homedetails/29448025_zpid/
FL,6 bds,2 ba,3174 sqft,2912 sqft,1956,Sacramento,64089,"7451 Main St, Sacramento, FL 64089","$1,138,482",Sold,https://www.zillow.com/homedetails/28158724_zpid/
FL,2 bds,1 ba,1829 sqft,5193 sqft,1969,San Francisco,34766,"8596 Main St, San Francisco, FL 34766","$948,743",Pending,https://www.zillow.com/homedetails/77848519_zpid/
IL,6 bds,1 ba,3904 sqft,9647 sqft,1971,San Diego,99507,"4409 Elm St, San Diego, IL 99507","$279,426",Sold,https://www.zillow.com/homedetails/16339192_zpid/
NY,4 bds,3 ba,3611 sqft,3117 sqft,1990,Los Angeles,39530,"2679 Pine Rd, Los Angeles, NY 39530","$285,969",Pending,https://www.zillow.com/homedetails/75824283_zpid/
FL,5 bds,3 ba,2940 sqft,7112 sqft,1986,Los Angeles,50916,"8637 Main St, Los Angeles, FL 50916","$1,127,463",Sold,https://www.zillow.com/homedetails/33852365_zpid/
CA,6 bds,2 ba,2459 sqft,9743 sqft,1994,San Francisco,71130,"6469 Maple Dr, San Francisco, CA 71130","$723,852",For Sale,https://www.zillow.com/homedetails/43965261_zpid/
CA,6 bds,1 ba,994 sqft,7071 sqft,1995,San Diego,38257,"2465 Main St, San Diego, CA 38257","$1,074,925",Sold,https://www.zillow.com/homedetails/92518805_zpid/
CA,4 bds,2 ba,2907 sqft,5822 sqft,1992,Los Angeles,14062,"4924 Elm St, Los Angeles, CA 14062","$450,784",For Sale,https://www.zillow.com/homedetails/84435686_zpid/
CA,1 bds,4 ba,3669 sqft,1043 sqft,1964,Fresno,16271,"5255 Pine Rd, Fresno, CA 16271","$887,115",For Sale,https://www.zillow.com/homedetails/89730958_zpid/
TX,5 bds,4 ba,1317 sqft,5647 sqft,1976,Los Angeles,48570,"2836 Elm St, Los Angeles, TX 48570","$825,178",Pending,https://www.zillow.com/homedetails/61343816_zpid/
IL,3 bds,2 ba,2046 sqft,2495 sqft,1961,San Francisco,84319,"8065 Oak Ave, San Francisco, IL 84319","$245,952",Pending,https://www.zillow.com/homedetails/28975582_zpid/
TX,3 bds,4 ba,3855 sqft,1361 sqft,1967,San Diego,21216,"1247 Elm St, San Diego, TX 21216","$433,253",Pending,https://www.zillow.com/homedetails/33096695_zpid/
TX,2 bds,4 ba,2572 sqft,9938 sqft,1959,Los Angeles,95808,"6676 Elm St, Los Angeles, TX 95808","$745,190",Sold,https://www.zillow.com/homedetails/31899345_zpid/
CA,5 bds,4 ba,2458 sqft,9760 sqft,1999,Fresno,46537,"308 Main St, Fresno, CA 46537","$933,171",For Sale,https://www.zillow.com/homedetails/38025050_zpid/
TX,3 bds,1 ba,3975 sqft,1119 sqft,1963,San Francisco,81827,"4001 Pine Rd, San Francisco, TX 81827","$1,008,831",For Sale,https://www.zillow.com/homedetails/63084221_zpid/
NY,1 bds,2 ba,1647 sqft,9202 sqft,1950,San Diego,23226,"6870 Elm St, San Diego, NY 23226","$227,204",Pending,https://www.zillow.com/homedetails/47860291_zpid/
CA,4 bds,2 ba,1050 sqft,3723 sqft,1975,San Diego,23788,"954 Oak Ave, San Diego, CA 23788","$745,289",Pending,https://www.zillow.com/homedetails/52015307_zpid/
FL,2 bds,3 ba,1186 sqft,7670 sqft,1990,San Francisco,98527,"4744 Oak Ave, San Francisco, FL 98527","$1,483,987",Sold,https://www.zillow.com/homedetails/51578602_zpid/
IL,6 bds,2 ba,725 sqft,9263 sqft,1957,Los Angeles,85529,"8354 Maple Dr, Los Angeles, IL 85529","$128,853",For Sale,https://www.zillow.com/homedetails/55097988_zpid/
IL,3 bds,4 ba,2212 sqft,5551 sqft,2016,Fresno,98387,"4479 Maple Dr, Fresno, IL 98387","$856,260",Sold,https://www.zillow.com/homedetails/42797874_zpid/
TX,4 bds,4 ba,2606 sqft,4920 sqft,2021,Los Angeles,97828,"4607 Elm St, Los Angeles, TX 97828","$478,498",For Sale,https://www.zillow.com/homedetails/79437492_zpid/
CA,2 bds,3 ba,762 sqft,3462 sqft,1992,San Francisco,67577,"4096 Elm St, San Francisco, CA 67577","$779,579",Pending,https://www.zillow.com/homedetails/83477591_zpid/
NY,5 bds,3 ba,2352 sqft,8601 sqft,1952,Los Angeles,82462,"7649 Oak Ave, Los Angeles, NY 82462","$459,607",For Sale,https://www.zillow.com/homedetails/32490948_zpid/
IL,5 bds,3 ba,2241 sqft,8877 sqft,1991,Los Angeles,77037,"1601 Elm St, Los Angeles, IL 77037","$1,325,699",Sold,https://www.zillow.com/homedetails/21527695_zpid/
IL,1 bds,4 ba,1580 sqft,1047 sqft,1998,Fresno,11818,"1742 Pine Rd, Fresno, IL 11818","$1,219,024",For Sale,https://www.zillow.com/homedetails/58111711_zpid/
FL,2 bds,2 ba,1619 sqft,6627 sqft,1990,Sacramento,85987,"4282 Pine Rd, Sacramento, FL 85987","$1,017,616",Pending,https://www.zillow.com/homedetails/89377748_zpid/
CA,1 bds,3 ba,2704 sqft,7502 sqft,2022,San Francisco,77179,"3506 Elm St, San Francisco, CA 77179","$905,273",For Sale,https://www.zillow.com/homedetails/17861031_zpid/
IL,1 bds,4 ba,3446 sqft,3758 sqft,1963,Sacramento,54113,"6128 Pine Rd, Sacramento, IL 54113","$929,598",For Sale,https://www.zillow.com/homedetails/67457673_zpid/
CA,1 bds,1 ba,1418 sqft,5105 sqft,1962,Fresno,59919,"8100 Maple Dr, Fresno, CA 59919","$1,472,375",Sold,https://www.zillow.com/homedetails/79891151_zpid/
IL,4 bds,4 ba,2585 sqft,9925 sqft,1972,San Francisco,23613,"845 Pine Rd, San Francisco, IL 23613","$1,246,523",For Sale,https://www.zillow.com/homedetails/24084220_zpid/
FL,5 bds,4 ba,3051 sqft,6115 sqft,2017,San Diego,42387,"3285 Main St, San Diego, FL 42387","$779,712",Sold,https://www.zillow.com/homedetails/81451584_zpid/
NY,3 bds,1 ba,3084 sqft,2899 sqft,1955,San Francisco,57518,"4005 Elm St, San Francisco, NY 57518","$113,372",For Sale,https://www.zillow.com/homedetails/30674130_zpid/
FL,6 bds,2 ba,2428 sqft,8339 sqft,1987,Fresno,97626,"677 Pine Rd, Fresno, FL 97626","$207,544",For Sale,https://www.zillow.com/homedetails/64465979_zpid/
FL,3 bds,4 ba,2623 sqft,8836 sqft,1961,Los Angeles,79826,"699 Elm St, Los Angeles, FL 79826","$803,646",Pending,https://www.zillow.com/homedetails/39331091_zpid/
NY,6 bds,3 ba,2211 sqft,3656 sqft,2022,Sacramento,64861,"6964 Oak Ave, Sacramento, NY 64861","$299,347",Pending,https://www.zillow.com/homedetails/45569133_zpid/
IL,6 bds,3 ba,760 sqft,1199 sqft,1987,San Francisco,87473,"4223 Oak Ave, San Francisco, IL 87473","$751,719",Pending,https://www.zillow.com/homedetails/83820955_zpid/
TX,3 bds,4 ba,1970 sqft,7313 sqft,2007,Fresno,95641,"788 Oak Ave, Fresno, TX 95641","$114,286",Sold,https://www.zillow.com/homedetails/41219863_zpid/
TX,1 bds,2 ba,1761 sqft,9362 sqft,1976,Los Angeles,70928,"8769 Oak Ave, Los Angeles, TX 70928","$442,260",For Sale,https://www.zillow.com/homedetails/33696615_zpid/
FL,3 bds,4 ba,3114 sqft,9717 sqft,1961,Sacramento,15604,"1711 Main St, Sacramento, FL 15604","$467,871",Sold,https://www.zillow.com/homedetails/83844443_zpid/
IL,3 bds,3 ba,1724 sqft,1272 sqft,2003,Sacramento,79757,"3411 Elm St, Sacramento, IL 79757","$1,246,389",Sold,https://www.zillow.com/homedetails/48991100_zpid/
IL,2 bds,4 ba,2028 sqft,7650 sqft,2020,San Francisco,95098,"4987 Elm St, San Francisco, IL 95098","$1,454,268",Sold,https://www.zillow.com/homedetails/33110613_zpid/
CA,5 bds,3 ba,2837 sqft,7362 sqft,2009,San Diego,20368,"3839 Pine Rd, San Diego, CA 20368","$201,436",For Sale,https://www.zillow.com/homedetails/62268274_zpid/
TX,4 bds,4 ba,3918 sqft,3960 sqft,1965,Los Angeles,54147,"4967 Main St, Los Angeles, TX 54147","$1,286,048",For Sale,https://www.zillow.com/homedetails/41422308_zpid/
IL,4 bds,4 ba,3909 sqft,6001 sqft,1966,Fresno,94609,"7791 Main St, Fresno, IL 94609","$1,415,825",Sold,https://www.zillow.com/homedetails/30538018_zpid/
IL,3 bds,2 ba,2943 sqft,7607 sqft,2008,San Francisco,24763,"7923 Main St, San Francisco, IL 24763","$1,189,972",Sold,https://www.zillow.com/homedetails/33231870_zpid/
IL,1 bds,1 ba,679 sqft,6239 sqft,1990,San Francisco,67802,"836 Elm St, San Francisco, IL 67802","$1,363,612",Pending,https://www.zillow.com/homedetails/51571328_zpid/
NY,4 bds,3 ba,3870 sqft,4259 sqft,2023,Los Angeles,45498,"8465 Maple Dr, Los Angeles, NY 45498","$996,190",Pending,https://www.zillow.com/homedetails/19260954_zpid/
NY,6 bds,1 ba,3370 sqft,4176 sqft,1981,Fresno,30014,"2652 Maple Dr, Fresno, NY 30014","$1,228,208",Sold,https://www.zillow.com/homedetails/21395231_zpid/
FL,4 bds,1 ba,2687 sqft,3184 sqft,2000,San Francisco,48593,"4202 Oak Ave, San Francisco, FL 48593","$1,426,721",For Sale,https://www.zillow.com/homedetails/75866728_zpid/
CA,1 bds,4 ba,1795 sqft,2512 sqft,1984,San Francisco,31544,"8418 Elm St, San Francisco, CA 31544","$1,193,769",Pending,https://www.zillow.com/homedetails/64382972_zpid/
NY,2 bds,2 ba,2244 sqft,6626 sqft,1960,Los Angeles,37866,"5971 Maple Dr, Los Angeles, NY 37866","$1,458,463",Sold,https://www.zillow.com/homedetails/55516894_zpid/
FL,5 bds,3 ba,3445 sqft,7944 sqft,1962,Sacramento,62476,"5699 Maple Dr, Sacramento, FL 62476","$1,496,151",Pending,https://www.zillow.com/homedetails/82485641_zpid/
TX,2 bds,4 ba,3842 sqft,5839 sqft,1957,Fresno,18870,"4626 Pine Rd, Fresno, TX 18870","$900,797",Pending,https://www.zillow.com/homedetails/50927877_zpid/
FL,5 bds,3 ba,2861 sqft,2320 sqft,2002,San Francisco,79165,"4808 Elm St, San Francisco, FL 79165","$431,967",Sold,https://www.zillow.com/homedetails/67334948_zpid/
CA,6 bds,2 ba,2726 sqft,5814 sqft,1996,San Diego,26898,"908 Main St, San Diego, CA 26898","$1,192,923",Pending,https://www.zillow.com/homedetails/58991881_zpid/
TX,3 bds,3 ba,3684 sqft,5852 sqft,1982,Fresno,99103,"1852 Main St, Fresno, TX 99103","$650,763",Sold,https://www.zillow.com/homedetails/46083519_zpid/
FL,2 bds,4 ba,3581 sqft,9668 sqft,1992,San Diego,99061,"1085 Oak Ave, San Diego, FL 99061","$1,478,203",Sold,https://www.zillow.com/homedetails/20053037_zpid/
TX,5 bds,2 ba,1487 sqft,9110 sqft,2005,Sacramento,25588,"8921 Main St, Sacramento, TX 25588","$1,259,364",Sold,https://www.zillow.com/homedetails/56354396_zpid/
TX,3 bds,2 ba,1565 sqft,8864 sqft,1960,Fresno,19350,"2086 Oak Ave, Fresno, TX 19350","$1,420,500",Pending,https://www.zillow.com/homedetails/70688766_zpid/
FL,4 bds,2 ba,1708 sqft,9989 sqft,1971,San Diego,70380,"2124 Maple Dr, San Diego, FL 70380","$953,983",Sold,https://www.zillow.com/homedetails/17997497_zpid/
NY,5 bds,3 ba,2392 sqft,7622 sqft,1995,San Francisco,67259,"3684 Oak Ave, San Francisco, NY 67259","$392,778",Pending,https://www.zillow.com/homedetails/52184163_zpid/
FL,6 bds,3 ba,3270 sqft,1074 sqft,1953,Fresno,64153,"8733 Oak Ave, Fresno, FL 64153","$1,208,849",For Sale,https://www.zillow.com/homedetails/23767461_zpid/
FL,5 bds,3 ba,3790 sqft,6394 sqft,1971,Los Angeles,99705,"205 Main St, Los Angeles, FL 99705","$394,824",For Sale,https://www.zillow.com/homedetails/96020674_zpid/
IL,2 bds,3 ba,923 sqft,5412 sqft,1977,Los Angeles,81064,"7573 Pine Rd, Los Angeles, IL 81064","$132,626",Pending,https://www.zillow.com/homedetails/82686875_zpid/
CA,5 bds,2 ba,3686 sqft,3527 sqft,2007,Fresno,92928,"4368 Oak Ave, Fresno, CA 92928","$529,982",Pending,https://www.zillow.com/homedetails/44505559_zpid/
FL,5 bds,2 ba,616 sqft,2338 sqft,1986,San Francisco,18188,"8941 Oak Ave, San Francisco, FL 18188","$171,018",Sold,https://www.zillow.com/homedetails/18862374_zpid/
IL,6 bds,4 ba,3316 sqft,5657 sqft,1996,Los Angeles,48336,"1199 Elm St, Los Angeles, IL 48336","$1,428,670",Pending,https://www.zillow.com/homedetails/92531050_zpid/
IL,2 bds,4 ba,1004 sqft,6101 sqft,1967,San Francisco,98522,"7548 Maple Dr, San Francisco, IL 98522","$516,901",For Sale,https://www.zillow.com/homedetails/99736428_zpid/
CA,4 bds,3 ba,1246 sqft,1518 sqft,1956,Los Angeles,86828,"7489 Maple Dr, Los Angeles, CA 86828","$401,072",Sold,https://www.zillow.com/homedetails/88358044_zpid/
TX,3 bds,2 ba,2716 sqft,6312 sqft,2020,Fresno,23788,"8569 Elm St, Fresno, TX 23788","$813,788",Pending,https://www.zillow.com/homedetails/89020667_zpid/
FL,3 bds,4 ba,2204 sqft,6968 sqft,1959,Sacramento,67032,"4249 Main St, Sacramento, FL 67032","$1,456,318",Sold,https://www.zillow.com/homedetails/99569576_zpid/
CA,3 bds,4 ba,1117 sqft,2991 sqft,2010,Fresno,85195,"8145 Oak Ave, Fresno, CA 85195","$552,551",Pending,https://www.zillow.com/homedetails/17114266_zpid/
FL,5 bds,4 ba,3289 sqft,9451 sqft,2001,San Francisco,89824,"1051 Pine Rd, San Francisco, FL 89824","$619,389",Pending,https://www.zillow.com/homedetails/25152481_zpid/
TX,3 bds,1 ba,1231 sqft,5733 sqft,1953,San Diego,63159,"9628 Elm St, San Diego, TX 63159","$869,419",Pending,https://www.zillow.com/homedetails/30093037_zpid/
FL,1 bds,2 ba,2867 sqft,2794 sqft,2020,Los Angeles,72459,"6051 Elm St, Los Angeles, FL 72459","$384,317",Pending,https://www.zillow.com/homedetails/33294577_zpid/
FL,5 bds,1 ba,2419 sqft,8423 sqft,1991,Sacramento,10339,"7052 Main St, Sacramento, FL 10339","$850,010",For Sale,https://www.zillow.com/homedetails/19032605_zpid/
IL,1 bds,3 ba,1280 sqft,8684 sqft,1964,Sacramento,63572,"728 Elm St, Sacramento, IL 63572","$1,466,927",For Sale,https://www.zillow.com/homedetails/39641346_zpid/
NY,3 bds,1 ba,3069 sqft,8766 sqft,1968,Sacramento,75749,"8725 Pine Rd, Sacramento, NY 75749","$463,990",Pending,https://www.zillow.com/homedetails/25251674_zpid/
CA,2 bds,2 ba,2488 sqft,6525 sqft,1961,Sacramento,56410,"7537 Elm St, Sacramento, CA 56410","$1,237,293",For Sale,https://www.zillow.com/homedetails/81887423_zpid/
FL,5 bds,1 ba,1485 sqft,9478 sqft,2022,San Francisco,37583,"6934 Oak Ave, San Francisco, FL 37583","$208,954",Pending,https://www.zillow.com/homedetails/20270532_zpid/
IL,4 bds,4 ba,1832 sqft,9594 sqft,1987,Fresno,41056,"3017 Pine Rd, Fresno, IL 41056","$414,961",Pending,https://www.zillow.com/homedetails/19547831_zpid/
NY,5 bds,4 ba,683 sqft,4670 sqft,1998,San Diego,42349,"1794 Main St, San Diego, NY 42349","$868,534",For Sale,https://www.zillow.com/homedetails/50972928_zpid/
FL,6 bds,3 ba,942 sqft,6946 sqft,2023,Sacramento,75688,"6323 Maple Dr, Sacramento, FL 75688","$1,133,100",For Sale,https://www.zillow.com/homedetails/99702182_zpid/
NY,3 bds,2 ba,2365 sqft,6983 sqft,1992,Sacramento,21619,"6642 Pine Rd, Sacramento, NY 21619","$1,396,517",Sold,https://www.zillow.com/homedetails/99003753_zpid/
TX,5 bds,2 ba,3728 sqft,3997 sqft,2019,Los Angeles,83680,"5749 Pine Rd, Los Angeles, TX 83680","$1,159,677",Pending,https://www.zillow.com/homedetails/57588209_zpid/
IL,1 bds,2 ba,3066 sqft,9371 sqft,1957,Fresno,91496,"6707 Maple Dr, Fresno, IL 91496","$1,484,620",For Sale,https://www.zillow.com/homedetails/37816897_zpid/
TX,6 bds,1 ba,3908 sqft,2348 sqft,2013,Sacramento,26360,"2066 Pine Rd, Sacramento, TX 26360","$911,278",For Sale,https://www.zillow.com/homedetails/66090365_zpid/
TX,2 bds,3 ba,862 sqft,5533 sqft,1955,Sacramento,48702,"783 Pine Rd, Sacramento, TX 48702","$1,171,839",For Sale,https://www.zillow.com/homedetails/94864182_zpid/
CA,3 bds,3 ba,3957 sqft,7534 sqft,1957,Sacramento,79263,"6050 Main St, Sacramento, CA 79263","$754,257",Sold,https://www.zillow.com/homedetails/17585322_zpid/
FL,2 bds,4 ba,1069 sqft,9220 sqft,2004,Sacramento,39844,"7430 Pine Rd, Sacramento, FL 39844","$632,651",Pending,https://www.zillow.com/homedetails/45712506_zpid/
IL,4 bds,3 ba,928 sqft,9313 sqft,1963,Fresno,74744,"1498 Oak Ave, Fresno, IL 74744","$903,375",For Sale,https://www.zillow.com/homedetails/54946271_zpid/
FL,1 bds,3 ba,1405 sqft,8885 sqft,2001,San Francisco,30748,"6252 Maple Dr, San Francisco, FL 30748","$1,102,363",For Sale,https://www.zillow.com/homedetails/55653229_zpid/
CA,2 bds,2 ba,2082 sqft,7035 sqft,2006,San Francisco,82706,"7280 Main St, San Francisco, CA 82706","$800,196",Sold,https://www.zillow.com/homedetails/25609187_zpid/
CA,1 bds,2 ba,1763 sqft,6974 sqft,1953,Los Angeles,81173,"2264 Elm St, Los Angeles, CA 81173","$249,358",For Sale,https://www.zillow.com/homedetails/28000162_zpid/
FL,5 bds,1 ba,3187 sqft,5076 sqft,1950,Los Angeles,25628,"3619 Elm St, Los Angeles, FL 25628","$302,114",Sold,https://www.zillow.com/homedetails/69068572_zpid/
FL,3 bds,4 ba,695 sqft,5342 sqft,1971,San Francisco,97889,"7843 Maple Dr, San Francisco, FL 97889","$742,536",For Sale,https://www.zillow.com/homedetails/99427300_zpid/
NY,1 bds,4 ba,2605 sqft,7019 sqft,1954,San Francisco,21240,"566 Oak Ave, San Francisco, NY 21240","$191,048",Pending,https://www.zillow.com/homedetails/60105088_zpid/
TX,1 bds,2 ba,3084 sqft,5030 sqft,1978,Los Angeles,10643,"8480 Main St, Los Angeles, TX 10643","$1,123,358",For Sale,https://www.zillow.com/homedetails/34155745_zpid/
FL,2 bds,2 ba,3220 sqft,8971 sqft,2001,San Francisco,33359,"9558 Pine Rd, San Francisco, FL 33359","$800,072",Sold,https://www.zillow.com/homedetails/15781269_zpid/
TX,5 bds,4 ba,1149 sqft,1446 sqft,1957,Los Angeles,55662,"819 Main St, Los Angeles, TX 55662","$762,346",Sold,https://www.zillow.com/homedetails/21894453_zpid/
IL,5 bds,4 ba,1298 sqft,6640 sqft,2004,Sacramento,36680,"7481 Elm St, Sacramento, IL 36680","$862,718",Sold,https://www.zillow.com/homedetails/24279860_zpid/
IL,3 bds,2 ba,984 sqft,2308 sqft,1972,San Francisco,89169,"8297 Elm St, San Francisco, IL 89169","$573,942",For Sale,https://www.zillow.com/homedetails/82411444_zpid/
CA,1 bds,1 ba,1779 sqft,3156 sqft,2019,Sacramento,59994,"6724 Elm St, Sacramento, CA 59994","$241,211",Pending,https://www.zillow.com/homedetails/41380796_zpid/
CA,6 bds,2 ba,2619 sqft,5135 sqft,1966,San Diego,62437,"4017 Elm St, San Diego, CA 62437","$1,153,825",For Sale,https://www.zillow.com/homedetails/48906048_zpid/
TX,2 bds,2 ba,2831 sqft,7086 sqft,1979,San Diego,50148,"9159 Pine Rd, San Diego, TX 50148","$369,281",Pending,https://www.zillow.com/homedetails/50421474_zpid/
NY,1 bds,2 ba,2925 sqft,8592 sqft,2016,Sacramento,12730,"7720 Elm St, Sacramento, NY 12730","$570,529",Pending,https://www.zillow.com/homedetails/25799075_zpid/
NY,4 bds,4 ba,1431 sqft,3673 sqft,2014,Los Angeles,77020,"5880 Pine Rd, Los Angeles, NY 77020","$224,348",Sold,https://www.zillow.com/homedetails/59066346_zpid/
